,Date,ASPI,Banks_finance_insurance,trend,seasonal,residual
0,2008-01-02,2560.1,5059.11,,0.03510992687667554,
1,2008-01-03,2529.96,5033.06,,0.03347655292086664,
2,2008-01-04,2510.4,4970.36,,0.03469512743157026,
3,2008-01-07,2488.55,4963.44,,0.03169757394909987,
4,2008-01-08,2432.21,4909.06,,0.030411978546868498,
5,2008-01-09,2403.43,4876.38,,0.02877679624480891,
6,2008-01-10,2434.95,4908.1,,0.02431647368145413,
7,2008-01-11,2446.38,4903.19,,0.018740665411089028,
8,2008-01-14,2432.71,4892.2,,0.020773984083618233,
9,2008-01-16,2382.16,4823.97,,0.02646337935844649,
10,2008-01-17,2378.88,4821.02,,0.02603948456295122,
11,2008-01-18,2382.33,4828.35,,0.024856736600184278,
12,2008-01-21,2387.93,4816.48,,0.02450412040846992,
13,2008-01-23,2452.39,4884.88,,0.021532034208977466,
14,2008-01-24,2436.71,4855.83,,0.0260997594972131,
15,2008-01-25,2433.5,4841.13,,0.024601426977242654,
16,2008-01-28,2444.31,4836.63,,0.02099873748562182,
17,2008-01-29,2444.71,4792.47,,0.02241247974224614,
18,2008-01-30,2433.79,4818.57,,0.019696435560644973,
19,2008-01-31,2446.13,4833.85,,0.020409047362771847,
20,2008-02-01,2453.56,4852.99,,0.0220504515263211,
21,2008-02-05,2434.04,4843.3,,0.02512490114157295,
22,2008-02-06,2437.45,4857.19,,0.02493952753174391,
23,2008-02-07,2454.89,4854.23,,0.026025600528843926,
24,2008-02-08,2463.82,4881.6,,0.021828867115091133,
25,2008-02-11,2485.77,4871.36,,0.025920857523345407,
26,2008-02-12,2494.84,4897.27,,0.029387329970668504,
27,2008-02-13,2507.42,4905.73,,0.025484419374705355,
28,2008-02-14,2505.9,4911.02,,0.03137167996137855,
29,2008-02-15,2485.05,4907.81,,0.038228335640412614,
30,2008-02-18,2497.1,4976.96,,0.04219269958346061,
31,2008-02-19,2503.54,4980.74,,0.04099776188243703,
32,2008-02-21,2516.97,4983.69,,0.040018027661332244,
33,2008-02-22,2510.79,5035.82,,0.042363927996255345,
34,2008-02-25,2520.98,5019.28,,0.04791912885836382,
35,2008-02-26,2527.62,4973.47,,0.04964125743857111,
36,2008-02-27,2534.19,5009.59,,0.05492883332569776,
37,2008-02-28,2539.94,4991.48,,0.05915232440113301,
38,2008-02-29,2530.86,4988.47,,0.06205651356444577,
39,2008-03-03,2533.54,5012.07,,0.06386819710894572,
40,2008-03-04,2562.25,5044.16,,0.06266675680306755,
41,2008-03-05,2566.23,5091.96,,0.06404512143312709,
42,2008-03-07,2567.45,5088.41,,0.06923832034600849,
43,2008-03-10,2567.45,5088.41,,0.06960916842936478,
44,2008-03-11,2571.52,5046.3,,0.06812420759677622,
45,2008-03-12,2577.03,5089.24,,0.07242001005034054,
46,2008-03-13,2570.4,5084.38,,0.06986095765868534,
47,2008-03-14,2566.03,5052.98,,0.07043115552572515,
48,2008-03-17,2543.18,5003.35,,0.06500208385807256,
49,2008-03-18,2551.29,5012.74,,0.06466407449910634,
50,2008-03-19,2536.18,5020.98,,0.06199524212035919,
51,2008-03-24,2526.04,4988.87,,0.06158770330443588,
52,2008-03-25,2545.78,4974.17,,0.06262717473505142,
53,2008-03-26,2549.56,4973.6,,0.06176596778154277,
54,2008-03-27,2548.31,4973.57,,0.060611810453371294,
55,2008-03-28,2564.86,4980.34,,0.06144451330990741,
56,2008-03-31,2550.47,4976.7,,0.056514882920978886,
57,2008-04-01,2620.53,4991.7,,0.05391038476347163,
58,2008-04-02,2629.54,4981.91,,0.05253631266726757,
59,2008-04-03,2629.5,4954.53,,0.05470484530081408,
60,2008-04-04,2624.97,4983.31,,0.05343352580774401,
61,2008-04-07,2607.82,4935.34,,0.052632582674230766,
62,2008-04-08,2617.74,4945.66,,0.049835653179370644,
63,2008-04-09,2606.97,4928.86,,0.04020398078714351,
64,2008-04-10,2614.63,4945.68,,0.03500109915645304,
65,2008-04-15,2625.61,4976.01,,0.03782808691660826,
66,2008-04-16,2647.75,4998.61,,0.036422114775503125,
67,2008-04-17,2671.83,5037.78,,0.03737345099838223,
68,2008-04-21,2662.93,5022.22,,0.035065072711705204,
69,2008-04-22,2673.01,5057.63,,0.030643620147982206,
